SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,Unnamed: 95,Unnamed: 96,TEST_INDEX
2024SP,20211,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,221,A,Canine Science,3.0,10:00:00,10:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,H. Suthers,11.0,35.0,35.0,Unknown,Unknown,Unknown,50.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19377,1809,ANZ-221-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,Unknown,Unknown,18
2024SP,20212,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,322,A,Community Canine,3.0,13:00:00,13:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,M. Brustkern,17.0,30.0,30.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19378,1856,ANZ-322-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 01:00PM - 01:50PM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,Unknown,Unknown,19
2024SP,20213,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,322L,A,Community Canine Lab w/ Dog,2.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,100,LAB,M. Brustkern,4.0,10.0,10.0,Unknown,Unknown,Unknown,275.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19379,1857,ANZ-322L-A,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 03:45PM - 05:00PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,Unknown,Unknown,20
2024SP,20214,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,322L,B,Community Canine Lab w/o Dog,1.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,100,LAB,M. Brustkern,0.0,5.0,5.0,Unknown,Unknown,Unknown,275.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,1.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19380,1857,ANZ-322L-B,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 03:45PM - 05:00PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,Unknown,Unknown,21
2024SP,20215,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,322L,C,Community Canine Lab w/ Dog,2.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,100,LAB,M. Brustkern,10.0,10.0,10.0,Unknown,Unknown,Unknown,275.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19381,1857,ANZ-322L-C,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 11:00AM - 12:15PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,Unknown,Unknown,22
2024SP,20216,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,322L,D,Community Canine Lab w/o Dog,1.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,100,LAB,M. Brustkern,3.0,5.0,5.0,Unknown,Unknown,Unknown,275.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,1.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19382,1857,ANZ-322L-D,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 11:00AM - 12:15PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,Unknown,Unknown,23
2024SP,20866,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,326,A,Animal-Relatd Bus and,3.0,11:00:00,11:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,M. Demello,4.0,20.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,Unknown,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,20001,2744,ANZ-326-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 11:00AM - 11:50AM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,Unknown,Unknown,24
2024SP,20217,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,332,A,Equine Science:Nature Horses,4.0,12:00:00,12:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,H. Suthers,8.0,10.0,12.0,Unknown,Unknown,Unknown,300.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,4.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19383,1978,ANZ-332-A,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,Unknown,Unknown,25
2024SP,20218,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,332,B,Equine Science:Nature Horses,4.0,12:00:00,12:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,H. Suthers,9.0,10.0,12.0,Unknown,Unknown,Unknown,300.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,4.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19384,1978,ANZ-332-B,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,Unknown,Unknown,27
2024SP,20219,F,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,332,C,Equine Science:Nature Horses,4.0,10:00:00,10:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,H. Suthers,0.0,10.0,12.0,Unknown,Unknown,Unknown,300.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,4.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19385,1978,ANZ-332-C,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,Unknown,Unknown,29
2024SP,20235,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,342,A,Equine Facilities Management 2,3.0,09:00:00,09:50:00,Y,-,-,-,-,Unknown,Unknown,EQCT,EQCT,LEC,H. Suthers,2.0,10.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,Y,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19401,2721,ANZ-342-A,"01/17/2024-05/09/2024 Lecture Monday 09:00AM - 09:50AM, ANZ Equine Center, Room EQCT (more)...",Jan 17 2024,May  9 2024,Unknown,Unknown,31
2024SP,20732,C,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,389,A,Senior Seminar Anthrozoology,1.0,16:00:00,16:50:00,-,-,Y,-,-,Unknown,Unknown,Unknown,Unknown,LEC,M. Demello,0.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Needs Build,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,UL,Unknown,T,T,4,N,Y,Y,Y,Unknown,3.0,Y,Unknown,19883,1901,ANZ-389-A,"01/17/2024-05/09/2024 Lecture Wednesday 04:00PM - 04:50PM, Room to be Announced",Jan 17 2024,May  9 2024,Unknown,Unknown,37
2024SP,20733,A,Unknown,"This course will allow students to gain real-world experiencesýand prepare themselves to work as professional dog trainersýpost-graduation. The course will cover contract development,ýgroup class content, developing materials for clients, andýlearning how to implement these items in a real group course.ýCommunity members will be invited to complete the group classesýstudents design (aggression and reactivity cases will not beýaccepted due to liability purposes). Students must haveýpreviously completed ANZ 321 and ANZ 321L or receive instructorýpermission.",Jan 17 2024,May  9 2024,ANZ,389,B,Coaching People to Train Dogs,3.0,17:15:00,18:30:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,101,LEC,M. Brustkern,7.0,7.0,7.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Needs Build,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,UL,Unknown,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19884,1901,ANZ-389-B,"01/17/2024-05/09/2024 Lecture Tuesday, Thursday 05:15PM - 06:30PM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  9 2024,Unknown,Unknown,38
2024SP,20224,P,Unknown,"This course, part of the proposed Anthrozoology EntrepreneurshipýCertificate program offered in conjunction with the BusinessýDepartment at Carroll, offers students an opportunity to create aýbusiness plan for either a for-profit animal-related business, orýfor running an animal-related non-profit organization. The courseýfocuses on the sequence of events that take place starting withýthe original idea for a new animal-related product or service toýactual beginning a new business. It emphasizes the understandingýof the various ""stages"" of development that any new product orýservice must pass, and the various activities each functionalýarea of the organization must contribute, in order to have aýsuccessful business launch.",Jan 17 2024,May  9 2024,ANZ,389,C,Animal-Related Srvcs Nonprofit,3.0,11:00:00,11:50:00,Y,-,Y,-,Y,Unknown,Unknown,PCCC,101,LEC,"M. Demello, M. Brustkern",0.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,UL,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19390,1901,ANZ-389-C,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 11:00AM - 11:50AM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,Unknown,Unknown,39
2024SP,20734,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,422,A,Specialized Animal Training,2.0,10:00:00,10:50:00,Y,-,Y,-,-,Unknown,Unknown,PCCC,100,SEM,M. Brustkern,3.0,4.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,Y,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,Unknown,Y,Unknown,19885,2129,ANZ-422-A,"01/17/2024-05/08/2024 Seminar Monday, Wednesday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 100",Jan 17 2024,May  8 2024,Unknown,Unknown,41
