SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,,,TEST_INDEX
2024SP,20188,A,,,Mar 20 2024,May  9 2024,ACNU,414,A,Com &PublicHealth Nursing(ND),,7:00AM,7:00PM,-,Y,-,Y,-,,,OFCP,OFFCMPS,LAB,D. Thompson,,,,,,,,,,,,-,-,-,-,-,-,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,,N,N,,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19354,2607,ACNU-414-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 01:00PM - 03:30PM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  9 2024,,,11
2024SP,20584,A,,,Jan 17 2024,May  9 2024,AN,218,A,Intro Native Am Studies(CDND),3,2:15PM,3:30PM,Y,-,Y,-,-,,,OCON,125,LEC,L. Ferguson,14,20,20,,,,,,,,,-,-,-,-,-,CL,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,SS,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,684,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,,19747,9,AN-218-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday 02:15PM - 03:30PM, O'Connell Hall, Room 125",Jan 17 2024,May  8 2024,,,12
2024SP,20586,A,,,Jan 17 2024,May  9 2024,AN,317,A,Ethnic & Racial Relations(ND),3,2:15PM,3:30PM,-,Y,-,Y,-,,,STCH,44,LEC,J. Dolan,5,20,20,,,,,,,,,-,-,-,-,-,CL,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,SS,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,686,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,,19749,10,AN-317-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 02:15PM - 03:30PM, St. Charles Hall, Room 044",Jan 18 2024,May  9 2024,,,13
2024SP,20585,C,,,Jan 17 2024,May  9 2024,AN,331,A,Social Sci Rsrch Methods(WI),3,11:00AM,12:15PM,-,Y,-,Y,-,,,STCH,18,LEC,J. Dolan,0,20,20,,,,35,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,685,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19748,2321,AN-331-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 11:00AM - 12:15PM, St. Charles Hall, Room 018",Jan 18 2024,May  9 2024,,,14
2024SP,20210,A,,,Jan 17 2024,May  9 2024,ANZ,108,A,Survey of Animals in Society,3,9:30AM,10:45AM,-,Y,-,Y,-,,,PCCC,101,LEC,"M. Demello, H. Suthers",23,40,40,,,,80,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19376,1808,ANZ-108-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 09:30AM - 10:45AM, Perkins Call Canine Center, Room 101",Jan 18 2024,May  9 2024,,,15
2024SP,20832,A,,,Jan 17 2024,May  9 2024,ANZ,132,A,Dressage: Foundation Riding,1,10:00AM,10:50AM,-,-,-,-,Y,,,PCCC,,LEC,K. Perrault,6,6,6,,,,300,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,,,+,INST,R2,1,,,4,N,Y,Y,Y,10,3,Y,,19973,2741,ANZ-132-A,"01/23/2024-05/07/2024 Lab Tuesday 02:30PM - 04:30PM, ANZ Equine Center, Room EQCT",Jan 23 2024,May  7 2024,,,16
2024SP,20832,A,,,Jan 17 2024,May  9 2024,ANZ,132,A,Dressage: Foundation Riding,,2:30PM,4:30PM,-,Y,-,-,-,,,EQCT,EQCT,LAB,K. Perrault,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,,,+,INST,R2,,,,4,N,Y,Y,Y,10,3,Y,,19973,2741,ANZ-132-A,"01/23/2024-05/07/2024 Lab Tuesday 02:30PM - 04:30PM, ANZ Equine Center, Room EQCT",Jan 23 2024,May  7 2024,,,17
2024SP,20211,A,,,Jan 17 2024,May  9 2024,ANZ,221,A,Canine Science,3,10:00AM,10:50AM,Y,-,Y,-,Y,,,PCCC,101,LEC,H. Suthers,11,35,35,,,,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19377,1809,ANZ-221-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,,,18
2024SP,20212,A,,,Jan 17 2024,May  9 2024,ANZ,322,A,Community Canine,3,1:00PM,1:50PM,Y,-,Y,-,Y,,,PCCC,101,LEC,M. Brustkern,17,30,30,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19378,1856,ANZ-322-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 01:00PM - 01:50PM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,,,19
2024SP,20213,A,,,Jan 17 2024,May  9 2024,ANZ,322L,A,Community Canine Lab w/ Dog,2,3:45PM,5:00PM,-,Y,-,Y,-,,,PCCC,100,LAB,M. Brustkern,4,10,10,,,,275,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,2,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19379,1857,ANZ-322L-A,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 03:45PM - 05:00PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,,,20
2024SP,20214,A,,,Jan 17 2024,May  9 2024,ANZ,322L,B,Community Canine Lab w/o Dog,1,3:45PM,5:00PM,-,Y,-,Y,-,,,PCCC,100,LAB,M. Brustkern,0,5,5,,,,275,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19380,1857,ANZ-322L-B,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 03:45PM - 05:00PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,,,21
2024SP,20215,A,,,Jan 17 2024,May  9 2024,ANZ,322L,C,Community Canine Lab w/ Dog,2,11:00AM,12:15PM,-,Y,-,Y,-,,,PCCC,100,LAB,M. Brustkern,10,10,10,,,,275,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,2,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19381,1857,ANZ-322L-C,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 11:00AM - 12:15PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,,,22
2024SP,20216,A,,,Jan 17 2024,May  9 2024,ANZ,322L,D,Community Canine Lab w/o Dog,1,11:00AM,12:15PM,-,Y,-,Y,-,,,PCCC,100,LAB,M. Brustkern,3,5,5,,,,275,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19382,1857,ANZ-322L-D,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 11:00AM - 12:15PM, Perkins Call Canine Center, Room 100",Jan 18 2024,May  9 2024,,,23
2024SP,20866,A,,,Jan 17 2024,May  9 2024,ANZ,326,A,Animal-Relatd Bus and,3,11:00AM,11:50AM,Y,-,Y,-,Y,,,PCCC,101,LEC,M. Demello,4,20,20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,,20001,2744,ANZ-326-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 11:00AM - 11:50AM, Perkins Call Canine Center, Room 101",Jan 17 2024,May  8 2024,,,24
2024SP,20217,A,,,Jan 17 2024,May  9 2024,ANZ,332,A,Equine Science:Nature Horses,4,12:00PM,12:50PM,Y,-,Y,-,Y,,,PCCC,101,LEC,H. Suthers,8,10,12,,,,300,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19383,1978,ANZ-332-A,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,25
2024SP,20217,A,,,Jan 17 2024,May  9 2024,ANZ,332,A,Equine Science:Nature Horses,,2:30PM,4:30PM,Y,-,-,-,-,,,EQCT,EQCT,LAB,H. Suthers,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19383,1978,ANZ-332-A,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,26
2024SP,20218,A,,,Jan 17 2024,May  9 2024,ANZ,332,B,Equine Science:Nature Horses,4,12:00PM,12:50PM,Y,-,Y,-,Y,,,PCCC,101,LEC,H. Suthers,9,10,12,,,,300,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19384,1978,ANZ-332-B,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,27
2024SP,20218,A,,,Jan 17 2024,May  9 2024,ANZ,332,B,Equine Science:Nature Horses,,2:30PM,4:30PM,-,-,Y,-,-,,,EQCT,EQCT,LAB,H. Suthers,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19384,1978,ANZ-332-B,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,28
2024SP,20219,F,,,Jan 17 2024,May  9 2024,ANZ,332,C,Equine Science:Nature Horses,4,10:00AM,10:50AM,Y,-,Y,-,Y,,,PCCC,101,LEC,H. Suthers,0,10,12,,,,300,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19385,1978,ANZ-332-C,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,29
2024SP,20219,F,,,Jan 17 2024,May  9 2024,ANZ,332,C,Equine Science:Nature Horses,,2:30PM,4:30PM,-,-,-,-,Y,,,EQCT,EQCT,LAB,H. Suthers,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19385,1978,ANZ-332-C,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, Perkins Call Canine Center, Room 101 (more)...",Jan 17 2024,May  8 2024,,,30
2024SP,20235,A,,,Jan 17 2024,May  9 2024,ANZ,342,A,Equine Facilities Management 2,3,9:00AM,9:50AM,Y,-,-,-,-,,,EQCT,EQCT,LEC,H. Suthers,2,10,10,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,Y,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,,19401,2721,ANZ-342-A,"01/17/2024-05/09/2024 Lecture Monday 09:00AM - 09:50AM, ANZ Equine Center, Room EQCT (more)...",Jan 17 2024,May  9 2024,,,31
2024SP,20235,A,,,Jan 17 2024,May  9 2024,ANZ,342,A,Equine Facilities Management 2,,,,Y,Y,Y,Y,Y,Y,Y,EQCT,EQCT,LAB,H. Suthers,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,Y,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,,19401,2721,ANZ-342-A,"01/17/2024-05/09/2024 Lecture Monday 09:00AM - 09:50AM, ANZ Equine Center, Room EQCT (more)...",Jan 17 2024,May  9 2024,,,32
2024SP,20220,A,,,Jan 17 2024,May  9 2024,ANZ,388,A,ANZ Teaching Assistantship,1,,,-,-,-,-,-,,,,,LEC,H. Suthers,5,6,6,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Y,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,1,T,T,4,N,Y,Y,N,,,Y,2024SP,19386,2086,ANZ-388-A,"01/17/2024-05/09/2024 Lecture Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,33
